,Converted_Datetime,Rate,DayofWeek,rowinpriceoffutures,Day before,Day after,Ratedaybefore,Ratedayafter,Rate Changes,difference,difference type 2,difference type 3
13,2018-11-07,2.125,2,7575,2018-11-06,2018-11-08,97.72,97.71,0.0,-0.010000000000005116,0.1039999999999992,0.10999999999999943
14,2018-09-26,2.125,2,7545,2018-09-25,2018-09-27,97.824,97.82,0.25,-0.0040000000000048885,0.23199999999999932,0.22500000000000853
15,2018-07-31,1.875,1,7505,2018-07-30,2018-08-01,98.056,98.045,0.0,-0.01099999999999568,0.028999999999996362,0.03999999999999204
16,2018-06-13,1.875,2,7472,2018-06-12,2018-06-14,98.085,98.085,0.25,0.0,0.10550000000000637,0.0800000000000125
17,2018-05-01,1.625,1,7442,2018-04-30,2018-05-02,98.1905,98.165,0.0,-0.02549999999999386,0.13450000000000273,0.14999999999999147
18,2018-03-21,1.625,2,7414,2018-03-20,2018-03-22,98.325,98.315,0.25,-0.010000000000005116,0.22399999999998954,0.20900000000000318
19,2018-01-30,1.375,1,7379,2018-01-29,2018-01-31,98.54899999999999,98.524,0.0,-0.024999999999991473,0.05100000000000193,0.07099999999999795
20,2017-12-13,1.375,2,7348,2017-12-12,2017-12-14,98.6,98.595,0.25,-0.0049999999999954525,0.17200000000001125,0.12999999999999545
21,2017-10-31,1.125,1,7318,2017-10-30,2017-11-01,98.772,98.725,0.0,-0.047000000000011255,0.07299999999999329,0.12000000000000455
22,2017-09-19,1.125,1,7288,2017-09-18,2017-09-20,98.845,98.845,0.0,0.0,0.0,-0.0010000000000047748
23,2017-07-25,1.125,1,7249,2017-07-24,2017-07-26,98.845,98.844,0.0,-0.0010000000000047748,0.015000000000000568,0.006000000000000227
24,2017-06-14,1.125,2,7221,2017-06-13,2017-06-15,98.86,98.85,0.25,-0.010000000000005116,0.14499999999999602,0.15500000000000114
25,2017-05-02,0.875,1,7191,2017-05-01,2017-05-03,99.005,99.005,0.0,0.0,0.10999999999999943,0.10500000000000398
26,2017-03-15,0.875,2,7158,2017-03-14,2017-03-16,99.115,99.11,0.25,-0.0049999999999954525,0.20400000000000773,0.2049999999999983
27,2017-01-31,0.625,1,7128,2017-01-30,2017-02-01,99.319,99.315,0.0,-0.0040000000000048885,0.04099999999999682,0.04000000000000625
28,2016-12-14,0.625,2,7097,2016-12-13,2016-12-15,99.36,99.355,0.25,-0.0049999999999954525,0.15749999999999886,0.14999999999999147
29,2016-11-01,0.375,1,7067,2016-10-31,2016-11-02,99.5175,99.505,0.0,-0.012500000000002842,0.05750000000000455,0.10000000000000853
30,2016-09-20,0.375,1,7037,2016-09-19,2016-09-21,99.575,99.605,0.0,0.030000000000001137,0.030000000000001137,-0.006000000000014438
31,2016-07-26,0.375,1,6998,2016-07-25,2016-07-27,99.605,99.59899999999999,0.0,-0.006000000000014438,0.024999999999991473,0.03100000000000591
32,2016-06-14,0.375,1,6969,2016-06-13,2016-06-15,99.63,99.63,0.0,0.0,0.0,-0.0049999999999954525
33,2016-04-26,0.375,1,6935,2016-04-25,2016-04-27,99.63,99.625,0.0,-0.0049999999999954525,-0.015000000000000568,0.010000000000005116
34,2016-03-15,0.375,1,6906,2016-03-14,2016-03-16,99.615,99.635,0.0,0.020000000000010232,0.020000000000010232,-0.010000000000005116
35,2016-01-26,0.375,1,6872,2016-01-25,2016-01-27,99.635,99.625,0.0,-0.010000000000005116,0.04999999999999716,0.03499999999999659
36,2015-12-16,0.375,2,6846,2015-12-15,2015-12-17,99.685,99.66,0.25,-0.025000000000005684,0.17499999999999716,0.18299999999999272
37,2015-10-27,0.125,1,6811,2015-10-26,2015-10-28,99.86,99.84299999999999,0.0,-0.017000000000010118,-0.05499999999999261,0.012000000000014666
38,2015-09-16,0.125,2,6782,2015-09-15,2015-09-17,99.805,99.855,0.0,0.04999999999999716,0.05999999999998806,-0.006000000000014438
39,2015-07-28,0.125,1,6747,2015-07-27,2015-07-29,99.865,99.84899999999999,0.0,-0.016000000000005343,-0.0049999999999954525,0.016000000000005343
40,2015-06-16,0.125,1,6718,2015-06-15,2015-06-17,99.86,99.865,0.0,0.0049999999999954525,0.012999999999991019,0.0040000000000048885
41,2015-04-28,0.125,1,6684,2015-04-27,2015-04-29,99.87299999999999,99.869,0.0,-0.003999999999990678,-0.007999999999995566,0.0010000000000047748
42,2015-03-17,0.125,1,6655,2015-03-16,2015-03-18,99.865,99.87,0.0,0.005000000000009663,0.010000000000005116,0.002999999999985903
43,2015-01-27,0.125,1,6621,2015-01-26,2015-01-28,99.875,99.87299999999999,0.0,-0.0020000000000095497,0.015000000000000568,0.012000000000014666
44,2014-12-16,0.125,1,6594,2014-12-15,2014-12-17,99.89,99.885,0.0,-0.0049999999999954525,0.025000000000005684,0.021000000000000796
45,2014-10-28,0.125,1,6560,2014-10-27,2014-10-29,99.915,99.906,0.0,-0.009000000000000341,-0.005000000000009663,0.003999999999990678
46,2014-09-16,0.125,1,6530,2014-09-15,2014-09-17,99.91,99.91,0.0,0.0,-0.006000000000000227,-0.007999999999995566
