date, value
10/11/2011,99.915
10/12/2011,99.915
10/13/2011,99.915
10/14/2011,99.915
10/17/2011,99.92
10/18/2011,99.92
10/19/2011,99.92
10/20/2011,99.92
10/21/2011,99.92
10/24/2011,99.92
10/25/2011,99.92
10/26/2011,99.92
10/27/2011,99.92
10/28/2011,99.92
10/31/2011,99.92
11/1/2011,99.92
11/2/2011,99.92
11/3/2011,99.92
11/4/2011,99.92
11/7/2011,99.92
11/8/2011,99.92
11/9/2011,99.92
11/10/2011,99.92
11/11/2011,99.92
11/14/2011,99.92
11/15/2011,99.92
11/16/2011,99.92
11/17/2011,99.92
11/18/2011,99.91
11/21/2011,99.91
11/22/2011,99.91
11/23/2011,99.91
11/25/2011,99.902
11/28/2011,99.899
11/29/2011,99.898
11/30/2011,99.894
12/1/2011,99.9
12/2/2011,99.9
12/5/2011,99.9
12/6/2011,99.9
12/7/2011,99.9
12/8/2011,99.91
12/9/2011,99.91
12/12/2011,99.91
12/13/2011,99.91
12/14/2011,99.92
12/15/2011,99.92
12/16/2011,99.92
12/19/2011,99.92
12/20/2011,99.92
12/21/2011,99.92
12/22/2011,99.92
12/23/2011,99.92
12/27/2011,99.918
12/28/2011,99.916
12/29/2011,99.914
12/30/2011,99.92
1/3/2012,99.92
1/4/2012,99.92
1/5/2012,99.92
1/6/2012,99.92
1/9/2012,99.92
1/10/2012,99.92
1/11/2012,99.92
1/12/2012,99.92
1/13/2012,99.92
1/17/2012,99.92
1/18/2012,99.92
1/19/2012,99.92
1/20/2012,99.92
1/23/2012,99.92
1/24/2012,99.92
1/25/2012,99.92
1/26/2012,99.918
1/27/2012,99.916
1/30/2012,99.914
1/31/2012,99.902
2/1/2012,99.89
2/2/2012,99.89
2/3/2012,99.89
2/6/2012,99.89
2/7/2012,99.89
2/8/2012,99.89
2/9/2012,99.88
2/10/2012,99.87
2/13/2012,99.87
2/14/2012,99.87
2/15/2012,99.88
2/16/2012,99.88
2/17/2012,99.89
2/21/2012,99.89
2/22/2012,99.89
2/23/2012,99.89
2/24/2012,99.89
2/27/2012,99.89
2/28/2012,99.89
2/29/2012,99.89
3/1/2012,99.89
3/2/2012,99.89
3/5/2012,99.89
3/6/2012,99.89
3/7/2012,99.89
3/8/2012,99.89
3/9/2012,99.88
3/12/2012,99.88
3/13/2012,99.88
3/14/2012,99.88
3/15/2012,99.88
3/16/2012,99.87
3/19/2012,99.86
3/20/2012,99.86
3/21/2012,99.86
3/22/2012,99.86
3/23/2012,99.86
3/26/2012,99.86
3/27/2012,99.87
3/28/2012,99.87
3/29/2012,99.87
3/30/2012,99.88
4/2/2012,99.88
4/3/2012,99.87
4/4/2012,99.86
4/5/2012,99.86
4/9/2012,99.86
4/10/2012,99.86
4/11/2012,99.86
4/12/2012,99.86
4/13/2012,99.86
4/16/2012,99.86
4/17/2012,99.86
4/18/2012,99.86
4/19/2012,99.86
4/20/2012,99.86
4/23/2012,99.87
4/24/2012,99.87
4/25/2012,99.86
4/26/2012,99.86
4/27/2012,99.86
4/30/2012,99.86
5/1/2012,99.86
5/2/2012,99.86
5/3/2012,99.86
5/4/2012,99.86
5/7/2012,99.86
5/8/2012,99.86
5/9/2012,99.86
5/10/2012,99.85
5/11/2012,99.85
5/14/2012,99.85
5/15/2012,99.85
5/16/2012,99.84
5/17/2012,99.83
5/18/2012,99.83
5/21/2012,99.83
5/22/2012,99.84
5/23/2012,99.85
5/24/2012,99.85
5/25/2012,99.848
5/29/2012,99.846
5/30/2012,99.844
5/31/2012,99.842
6/1/2012,99.84
6/4/2012,99.84
6/5/2012,99.84
6/6/2012,99.84
6/7/2012,99.84
6/8/2012,99.84
6/11/2012,99.835
6/12/2012,99.83
6/13/2012,99.83
6/14/2012,99.83
6/15/2012,99.835
6/18/2012,99.835
6/19/2012,99.835
6/20/2012,99.83
6/21/2012,99.83
6/22/2012,99.825
6/25/2012,99.825
6/26/2012,99.825
6/27/2012,99.825
6/28/2012,99.825
6/29/2012,99.825
7/2/2012,99.825
7/3/2012,99.825
7/5/2012,99.825
7/6/2012,99.83
7/9/2012,99.83
7/10/2012,99.835
7/11/2012,99.835
7/12/2012,99.84
7/13/2012,99.84
7/16/2012,99.845
7/17/2012,99.845
7/18/2012,99.85
7/19/2012,99.85
7/20/2012,99.85
7/23/2012,99.85
7/24/2012,99.85
7/25/2012,99.85
7/26/2012,99.851
7/27/2012,99.852
7/30/2012,99.86
7/31/2012,99.86
8/1/2012,99.86
8/2/2012,99.86
8/3/2012,99.86
8/6/2012,99.86
8/7/2012,99.86
8/8/2012,99.855
8/9/2012,99.855
8/10/2012,99.855
8/13/2012,99.855
8/14/2012,99.855
8/15/2012,99.855
8/16/2012,99.86
8/17/2012,99.86
8/20/2012,99.86
8/21/2012,99.86
8/22/2012,99.86
8/23/2012,99.86
8/24/2012,99.865
8/27/2012,99.865
8/28/2012,99.865
8/29/2012,99.865
8/30/2012,99.865
8/31/2012,99.869
9/4/2012,99.875
9/5/2012,99.875
9/6/2012,99.87
9/7/2012,99.87
9/10/2012,99.87
9/11/2012,99.87
9/12/2012,99.87
9/13/2012,99.87
9/14/2012,99.865
9/17/2012,99.865
9/18/2012,99.86
9/19/2012,99.855
9/20/2012,99.855
9/21/2012,99.855
9/24/2012,99.855
9/25/2012,99.856
9/26/2012,99.857
9/27/2012,99.858
9/28/2012,99.859
10/1/2012,99.86
10/2/2012,99.86
10/3/2012,99.86
10/4/2012,99.855
10/5/2012,99.855
10/8/2012,99.855
10/9/2012,99.855
10/10/2012,99.855
10/11/2012,99.855
10/12/2012,99.855
10/15/2012,99.855
10/16/2012,99.855
10/17/2012,99.855
10/18/2012,99.855
10/19/2012,99.855
10/22/2012,99.855
10/23/2012,99.855
10/24/2012,99.855
10/25/2012,99.845
10/26/2012,99.846
10/29/2012,99.844
10/30/2012,99.843
10/31/2012,99.844
11/1/2012,99.845
11/2/2012,99.845
11/5/2012,99.845
11/6/2012,99.845
11/7/2012,99.845
11/8/2012,99.85
11/9/2012,99.85
11/12/2012,99.85
11/13/2012,99.85
11/14/2012,99.845
11/15/2012,99.845
11/16/2012,99.845
11/19/2012,99.845
11/20/2012,99.845
11/21/2012,99.845
11/23/2012,99.845
11/26/2012,99.845
11/27/2012,99.848
11/28/2012,99.851
11/29/2012,99.854
11/30/2012,99.857
12/3/2012,99.86
12/4/2012,99.86
12/5/2012,99.86
12/6/2012,99.86
12/7/2012,99.86
12/10/2012,99.86
12/11/2012,99.86
12/12/2012,99.86
12/13/2012,99.86
12/14/2012,99.86
12/17/2012,99.86
12/18/2012,99.85
12/19/2012,99.85
12/20/2012,99.85
12/21/2012,99.84
12/24/2012,99.84
12/26/2012,99.842
12/27/2012,99.838
12/28/2012,99.842
12/31/2012,99.854
1/2/2013,99.86
1/3/2013,99.86
1/4/2013,99.86
1/7/2013,99.86
1/8/2013,99.86
1/9/2013,99.86
1/10/2013,99.86
1/11/2013,99.86
1/14/2013,99.86
1/15/2013,99.86
1/16/2013,99.86
1/17/2013,99.86
1/18/2013,99.86
1/22/2013,99.87
1/23/2013,99.87
1/24/2013,99.86
1/25/2013,99.86
1/28/2013,99.86
1/29/2013,99.864
1/30/2013,99.866
1/31/2013,99.868
2/1/2013,99.87
2/4/2013,99.87
2/5/2013,99.87
2/6/2013,99.87
2/7/2013,99.87
2/8/2013,99.87
2/11/2013,99.86
2/12/2013,99.86
2/13/2013,99.86
2/14/2013,99.86
2/15/2013,99.86
2/19/2013,99.86
2/20/2013,99.86
2/21/2013,99.86
2/22/2013,99.86
2/25/2013,99.86
2/26/2013,99.86
2/27/2013,99.86
2/28/2013,99.86
3/1/2013,99.86
3/4/2013,99.86
3/5/2013,99.86
3/6/2013,99.86
3/7/2013,99.86
3/8/2013,99.86
3/11/2013,99.86
3/12/2013,99.86
3/13/2013,99.86
3/14/2013,99.86
3/15/2013,99.86
3/18/2013,99.86
3/19/2013,99.855
3/20/2013,99.855
3/21/2013,99.855
3/22/2013,99.855
3/25/2013,99.856
3/26/2013,99.857
3/27/2013,99.858
3/28/2013,99.859
4/1/2013,99.86
4/2/2013,99.865
4/3/2013,99.865
4/4/2013,99.87
4/5/2013,99.87
4/8/2013,99.87
4/9/2013,99.87
4/10/2013,99.87
4/11/2013,99.87
4/12/2013,99.87
4/15/2013,99.87
4/16/2013,99.87
4/17/2013,99.87
4/18/2013,99.87
4/19/2013,99.865
4/22/2013,99.865
4/23/2013,99.865
4/24/2013,99.865
4/25/2013,99.866
4/26/2013,99.87
4/29/2013,99.875
4/30/2013,99.875
5/1/2013,99.875
5/2/2013,99.875
5/3/2013,99.875
5/6/2013,99.875
5/7/2013,99.875
5/8/2013,99.875
5/9/2013,99.875
5/10/2013,99.875
5/13/2013,99.875
5/14/2013,99.875
5/15/2013,99.875
5/16/2013,99.875
5/17/2013,99.88
5/20/2013,99.885
5/21/2013,99.885
5/22/2013,99.885
5/23/2013,99.885
5/24/2013,99.89
5/28/2013,99.889
5/29/2013,99.891
5/30/2013,99.892
5/31/2013,99.891
6/3/2013,99.89
6/4/2013,99.89
6/5/2013,99.89
6/6/2013,99.89
6/7/2013,99.89
6/10/2013,99.895
6/11/2013,99.895
6/12/2013,99.895
6/13/2013,99.895
6/14/2013,99.895
6/17/2013,99.895
6/18/2013,99.895
6/19/2013,99.89
6/20/2013,99.885
6/21/2013,99.885
6/24/2013,99.885
6/25/2013,99.883
6/26/2013,99.881
6/27/2013,99.882
6/28/2013,99.886
7/1/2013,99.89
7/2/2013,99.895
7/3/2013,99.895
7/5/2013,99.895
7/8/2013,99.895
7/9/2013,99.895
7/10/2013,99.895
7/11/2013,99.895
7/12/2013,99.895
7/15/2013,99.895
7/16/2013,99.895
7/17/2013,99.895
7/18/2013,99.895
7/19/2013,99.9
7/22/2013,99.9
7/23/2013,99.9
7/24/2013,99.9
7/25/2013,99.9
7/26/2013,99.899
7/29/2013,99.898
7/30/2013,99.897
7/31/2013,99.896
8/1/2013,99.895
8/2/2013,99.9
8/5/2013,99.9
8/6/2013,99.9
8/7/2013,99.9
8/8/2013,99.9
8/9/2013,99.9
8/12/2013,99.905
8/13/2013,99.905
8/14/2013,99.905
8/15/2013,99.905
8/16/2013,99.905
8/19/2013,99.905
8/20/2013,99.905
8/21/2013,99.905
8/22/2013,99.905
8/23/2013,99.905
8/26/2013,99.905
8/27/2013,99.903
8/28/2013,99.904
8/29/2013,99.904
8/30/2013,99.903
9/3/2013,99.9
9/4/2013,99.9
9/5/2013,99.9
9/6/2013,99.905
9/9/2013,99.905
9/10/2013,99.91
9/11/2013,99.91
9/12/2013,99.91
9/13/2013,99.91
9/16/2013,99.91
9/17/2013,99.91
9/18/2013,99.91
9/19/2013,99.91
9/20/2013,99.91
9/23/2013,99.91
9/24/2013,99.91
9/25/2013,99.908
9/26/2013,99.901
9/27/2013,99.899
9/30/2013,99.897
10/1/2013,99.895
10/2/2013,99.9
10/3/2013,99.9
10/4/2013,99.9
10/7/2013,99.895
10/8/2013,99.885
10/9/2013,99.885
10/10/2013,99.895
10/11/2013,99.895
10/14/2013,99.895
10/15/2013,99.895
10/16/2013,99.905
10/17/2013,99.91
10/18/2013,99.91
10/21/2013,99.91
10/22/2013,99.91
10/23/2013,99.915
10/24/2013,99.915
10/25/2013,99.915
10/28/2013,99.915
10/29/2013,99.915
10/30/2013,99.915
10/31/2013,99.915
11/1/2013,99.915
11/4/2013,99.915
11/5/2013,99.915
11/6/2013,99.915
11/7/2013,99.915
11/8/2013,99.915
11/11/2013,99.915
11/12/2013,99.915
11/13/2013,99.915
11/14/2013,99.915
11/15/2013,99.915
11/18/2013,99.915
11/19/2013,99.915
11/20/2013,99.915
11/21/2013,99.915
11/22/2013,99.915
11/25/2013,99.915
11/26/2013,99.915
11/27/2013,99.915
11/29/2013,99.915
12/2/2013,99.915
12/3/2013,99.91
12/4/2013,99.91
12/5/2013,99.91
12/6/2013,99.91
12/9/2013,99.915
12/10/2013,99.915
12/11/2013,99.915
12/12/2013,99.915
12/13/2013,99.915
12/16/2013,99.915
12/17/2013,99.915
12/18/2013,99.915
12/19/2013,99.91
12/20/2013,99.91
12/23/2013,99.91
12/24/2013,99.91
12/26/2013,99.909
12/27/2013,99.908
12/30/2013,99.907
12/31/2013,99.906
1/2/2014,99.905
1/3/2014,99.905
1/6/2014,99.905
1/7/2014,99.91
1/8/2014,99.91
1/9/2014,99.91
1/10/2014,99.91
1/13/2014,99.915
1/14/2014,99.915
1/15/2014,99.915
1/16/2014,99.915
1/17/2014,99.92
1/21/2014,99.92
1/22/2014,99.92
1/23/2014,99.92
1/24/2014,99.92
1/27/2014,99.92
1/28/2014,99.918
1/29/2014,99.916
1/30/2014,99.914
1/31/2014,99.916
2/3/2014,99.915
2/4/2014,99.915
2/5/2014,99.915
2/6/2014,99.915
2/7/2014,99.915
2/10/2014,99.915
2/11/2014,99.92
2/12/2014,99.92
2/13/2014,99.92
2/14/2014,99.92
2/18/2014,99.925
2/19/2014,99.925
2/20/2014,99.925
2/21/2014,99.925
2/24/2014,99.925
2/25/2014,99.925
2/26/2014,99.925
2/27/2014,99.925
2/28/2014,99.925
3/3/2014,99.925
3/4/2014,99.925
3/5/2014,99.925
3/6/2014,99.925
3/7/2014,99.92
3/10/2014,99.92
3/11/2014,99.92
3/12/2014,99.92
3/13/2014,99.92
3/14/2014,99.92
3/17/2014,99.92
3/18/2014,99.92
3/19/2014,99.92
3/20/2014,99.915
3/21/2014,99.915
3/24/2014,99.915
3/25/2014,99.915
3/26/2014,99.914
3/27/2014,99.913
3/28/2014,99.912
3/31/2014,99.916
4/1/2014,99.915
4/2/2014,99.915
4/3/2014,99.915
4/4/2014,99.915
4/7/2014,99.915
4/8/2014,99.915
4/9/2014,99.915
4/10/2014,99.915
4/11/2014,99.915
4/14/2014,99.915
4/15/2014,99.915
